email_normalized,wallet_old_id,kyc_old_id,voucher_old_id,order_old_id,new_uuid,created_at
john@example.com,6,,,,6ea0f6c2-e733-418a-85ba-aa29947cdf46,2026-04-01 15:58:06.720678
sender_c_d0453d78@example.com,49,,,,20a11846-6e00-4838-88af-40f2f6233fcd,2026-04-01 15:58:06.720678
steve@example.com,17,,,,04896174-0d71-4a2f-827c-a8d530ca2c59,2026-04-01 15:58:06.720678
user@example.com,18,,,,69180ce7-2fb2-4641-a932-3509359af6e2,2026-04-01 15:58:06.720678
karan.gondaliya@azilen.com,19,,,,e0295898-27a6-457d-a5a7-5f4ede21beb5,2026-04-01 15:58:06.720678
tithaal@example.com,7,,,,3433ba71-a747-4a4e-876c-96db5ca02232,2026-04-01 15:58:06.720678
alice@example.com,10,,,,a015f8cf-726c-4187-a264-623f961c7099,2026-04-01 15:58:06.720678
bob@example.com,11,,,,664171c3-6573-4b49-9fc6-7acad512da1c,2026-04-01 15:58:06.720678
bob1@example.com,13,,,,15864db0-c665-4f9d-a805-981a96295195,2026-04-01 15:58:06.720678
testuser1@example.com,8,,,,30261e2b-a6b5-4ec1-9159-2b540c28d960,2026-04-01 15:58:06.720678
testuser1@asd,9,,,,0b8a4c11-6a44-49de-a34c-f55e459d974a,2026-04-01 15:58:06.720678
user_07b4cef5@example.com,15,,,,564b4859-5277-44b8-996a-d3e7d9acac5b,2026-04-01 15:58:06.720678
user_7dc2913b@example.com,16,,,,ec7587c0-4a9c-4876-93bb-f311d91c79d5,2026-04-01 15:58:06.720678
admin@gmail.com,,,1,,65fce98d-88b5-4aad-a9b9-a091ac7881d3,2026-04-01 15:58:06.720678
userone@gmail.com,,,2,,0664d214-2fb1-47e1-9cb1-291df4531096,2026-04-01 15:58:06.720678
biki@gmail.com,,,3,,c645fb67-0034-40a7-97ca-946a37d79743,2026-04-01 15:58:06.720678
user1771578318@example.com,,,4,,25a4db43-54b0-4530-9629-0abec08c4d04,2026-04-01 15:58:06.720678
mishrasatyam2060@gmail.com,,,6,,bb406aae-3647-4a79-9e18-5200c7031aad,2026-04-01 15:58:06.720678
mail.debug.20260309@example.com,,,7,,8b228e5c-3526-49d4-9a31-884a21c8f6d1,2026-04-01 15:58:06.720678
tenantuser@azilen.com,,,9,,afde20ad-1b02-438f-acb1-ee7c0de36c88,2026-04-01 15:58:06.720678
mishra@azilen.com,,,5,,488af367-8fcf-41c0-bd1a-31618455f9b5,2026-04-01 15:58:06.720678
satyam@tcs.com,,,8,,4b5ed8bd-0c07-4827-ad0e-804cd80b9c21,2026-04-01 15:58:06.720678
anandchaniyara007@gmail.com,,,,c0a8085e-9c98-1b65-819c-988c528c0004,06d11267-0f37-4ff7-932d-4514dfe67b9a,2026-04-01 15:58:06.720678
satyam.mishra@azilen.com,,,,c0a8085e-9cb2-1680-819c-b30b41a80001,5c525fac-4ac3-4b8e-ad6d-d9922d45c05e,2026-04-01 15:58:06.720678
vpsciencememories@gmail.com,,,,c0a8085e-9cdc-17a8-819c-dc4a33d50001,70029fe4-9915-40d4-8aab-99740c5a4257,2026-04-01 15:58:06.720678
anandchaniyara007storage@gmail.com,,,,c0a8085e-9c9e-117c-819c-9e904c530000,fcc3cd88-471e-4b47-b677-474d05970f8c,2026-04-01 15:58:06.720678
customersatyam@satyam.com,,,,c0a8085e-9cb2-1680-819c-b33196f1000c,6da8b9e4-4c4a-4b3d-bd3c-773b4e30f995,2026-04-01 15:58:06.720678
superadmin@superemail.com,,,,00000000-0000-0000-0000-000000000002,44373460-21ed-470e-bad3-a07a073b8f51,2026-04-01 15:58:06.720678
anand.chaniyara@azilen.com,,,,00000000-0000-0000-0000-000000000003,e69d9c34-cbf9-4d33-8fce-7bd3ce1052d3,2026-04-01 15:58:06.720678
satyammishra0323@gmail.com,,,,c0a8085e-9cb2-1680-819c-b303df540000,ab1bc493-83d8-4ad2-a08b-530ec126534a,2026-04-01 15:58:06.720678
concurrent.usertwo.aab7dd1e@example.com,,54,,,351e2446-68d7-49fe-af80-cb149a445efb,2026-04-01 15:58:06.720678
concurrent.userone.3faf9c33@example.com,,55,,,334881ac-c532-43a6-9785-74476e0e7480,2026-04-01 15:58:06.720678
concurrent.usertwo.3faf9c33@example.com,,56,,,8cfd2f8e-1aa1-45ea-8b4f-c0e8a953c9a0,2026-04-01 15:58:06.720678
concurrent.userone.74bc31d7@example.com,,57,,,d46995f9-a13c-41dc-b977-c18c4c1bbb8a,2026-04-01 15:58:06.720678
concurrent.usertwo.74bc31d7@example.com,,58,,,72ff55bb-5423-42f4-9645-df34b15b83b2,2026-04-01 15:58:06.720678
concurrent.userone.3372fa6a@example.com,,59,,,b00010d0-ee47-4f83-955b-a67671f9c471,2026-04-01 15:58:06.720678
concurrent.usertwo.3372fa6a@example.com,,60,,,d1f98904-5072-4d02-af6b-2b42d8f6e1ca,2026-04-01 15:58:06.720678
concurrent.userone.032f2ea5@example.com,,61,,,f11ca433-52fa-4c7a-8776-c944c76ab4aa,2026-04-01 15:58:06.720678
concurrent.usertwo.032f2ea5@example.com,,62,,,84eaa1ec-a2ae-4a9d-b0b0-76739289d369,2026-04-01 15:58:06.720678
concurrent.userone.cf89f4ca@example.com,,63,,,e203fd7a-3386-4a57-a839-5cdc36b454aa,2026-04-01 15:58:06.720678
concurrent.usertwo.cf89f4ca@example.com,,64,,,04874fb2-69b1-4e12-bd6c-a25cca890620,2026-04-01 15:58:06.720678
john.doe@example.com,,68,,,385ae6e1-94ca-42ae-a051-95b840e94c0d,2026-04-01 15:58:06.720678
rahul.sharma@gmail.com,,21,,,902be830-59ae-4cfe-9e7f-b1a94e47fd35,2026-04-01 15:58:06.720678
priya.patel@yahoo.com,,22,,,d33c3dc6-8c09-4bc4-8225-300b44289d7c,2026-04-01 15:58:06.720678
verified@example.com,,35,,,19d3cd7f-39ad-4256-8b2d-bf04e4490003,2026-04-01 15:58:06.720678
rejected@example.com,,36,,,499f86e9-8888-406b-881b-f54390e9c765,2026-04-01 15:58:06.720678
